IP Year,Investment Name,Project Details,Department,Service Area,Investment Type,Capital Cost,Percent Funded,Class Estimate,SPAP Theme,Lifecycle Activity Driver,Neighbourhood,Ward,Location,Funded,Unfunded,Funding Year,Growth Enabling or Supportive,Previously Approved Project Funding,GAHP,Rank,Disposal,Preliminary Capital Cost 10 Year,Preliminary Funded 10 Year,Preliminary Unfunded 10 Year,Preliminary Capital Cost 6 Year,Preliminary Funded 6 Year,Preliminary Unfunded 6 Year
2024,"Consolidate Core Stations (Centennial, Spence, Sargent Park)",Consolidation of Station 1 (65 Ellen St.) Station 5 (845 Sargent Ave.) and Station 36 (726 Furby t.) into a single fit-for-purpose station on existing city land,Fire Paramedic Service,Fire & Rescue Response,Project,$0,0%,5,"A Livable, Safe, Healthy, Happy City",Renew,West Alexander,Point Douglas,POINT (-97.14658 49.89845),0,0,2025,,,N,8,,,,,,,
2024,Permit Licensing and Inspection Management Program,"A DPLI application provides an online platform or software solution that allows users to apply for, manage, and track permits, licenses or inspections issued by relevant authorities, such as government agencies, regulatory bodies, or private organizations. DPLI applications can be used for various purposes, such as parking permits, building permits, environmental permits, event permits, business licenses, and various inspections.",Innovation and Technology,"Dev Approval, Bldg, Permits & Insp",Program,$0,0%,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,0,0,2031,,,N,1,,,,,,,
2024,Process Control System Master Plan and Upgrade,"This program will develop a plan to ensure operational reliability throughout the upgrades and in the long term once the upgrades are complete. The major components of this program include: maintaining the Distributed Control Systems (DCS) and Human Machine Interface (HMI) systems until replacement, upgrading the inter-plant communication systems and network security components, and replacement of the West End Sewage Treatment Plant DCS and HMI systems.",Water and Waste,Wastewater,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2031,,,N,1,,,,,,,
2024,Health/Life Safety/Emergency Systems Refurbishment/City-Wide Accessibility,"Capital Program to fund investments ensuring health/life safety requirements and the highest-and-best use investments associated with preserving continued facility operations that arise annually. Specifically, this program encompasses planned or emergency refurbishment, replacement, repair and maintenance upgrade projects for fire and life safety (e.g., emergency lighting), heating, ventilation, air conditioning, electrical, plumbing, building envelope, structural requirements, emergency power generation, and uninterrupted power systems. Funding is also allocated for critical systems including building automation and climate control, security, access control, and CCTV systems. This program also ensures adherence to regulatory compliance upgrades, asbestos and other hazardous material remediation, and asset condition assessments. Finally, this program addresses physical accessibility issues such as lighting, signage, and public entranceways.",Assets and Project Management,"Dev Approval, Bldg, Permits & Insp",Program,$0,2%,,"A Livable, Safe, Healthy, Happy City",Renew,,,,"2,236,000","36,008,000",2026,,,N,3,,,,,,,
2024,Combined Sewer Overflow and Basement Flood Management Strategy: District Sewer Separation,"Funds budgeted are for the development and implementation of a CSO Master Plan as well as for sewer relief works associated with basement flooding and CSO mitigation including sewers, chambers, weirs, and other related works. Funds are also budgeted for monitoring and reporting programs as well as systems, pilot studies, land acquisition, and integration with other major sewer programs.",Water and Waste,Wastewater,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,"30,000,000",0,2028,,,N,5,,,,,,,
2024,Community Incentive Grant Program,Funding to re-instate the Community Incentive Grant Program as per Council's Strategic Priorities Action Plan.,Community Services,Recreation,Program,$0,100%,,"A Livable, Safe, Healthy, Happy City",Growth,,,,"1,305,000",0,2031,,,N,22,,,,,,,
2024,North End Sewage Treatment plant (NEWPCC) Upgrades: Nutrient Removal Facilities,The proposed project is the final phase of the NEWPCC (North End Sewage Treatment Plant) Upgrade. The Nutrient Removal Facilities project will address regulatory requirements regarding the new effluent limits for nitrogen and phosphorous. It will add mostly new facilities including new wet weather treatment capability and replace associated end-of-life equipment.,Water and Waste,Wastewater,Project,$0,0%,5,A Strong Economy,Upgrade,West Kildonan Industrial,Old Kildonan,POINT (-97.10764 49.95172),0,0,2030,Growth-enabling infrastructure,,N,12,,,,,,,
2024,Digital Customer Solutions,This program will mature the existing Water and Waste Department's digital customer platforms (e.g. MyUtility and Lawyer Gateway). It will also provide new digital customer experiences.,Innovation and Technology,Wastewater,Program,$0,100%,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,"1,200,000",0,2030,,,N,2,,,,,,,
2023,Fort Rouge - McFadyen Pedestrian Crossing,text,Public Works,Active Transportation,Project,"$38,415,000",0%,3,Good Health & Well-Being,Growth,Broadway-Assiniboine,Fort Rouge - East Fort Garry,POINT (-97.14168066 49.88396265),0,"4,493,000",2023,,,,,,,,,,,
2024,Facility Optimization - Land and Consolidation of Osborne Station,"With this capital funding the Winnipeg Fire Paramedic Service seeks to maximize the efficiency of the station network. This is achieved through relocations, replacements, and major enhancements to stations that help reduce costs but maintain the desired level of response. This project will identify land and the future consolidation of the Osborne Street stations in the Osborne Community area.",Fire Paramedic Service,Fire & Rescue Response,Project,$0,100%,5,"A Livable, Safe, Healthy, Happy City",Renew,River-Osborne,Fort Rouge - East Fort Garry,POINT (-97.1438843 49.87783749),0,0,2028,,,N,7,,,,,,,
2024,Tyndall Park Community Centre Addition,The proposed project involves the development of a full-sized gymnasium addition and related spaces to meet community program needs.,Community Services,Recreation,Project,$0,24%,5,"A Livable, Safe, Healthy, Happy City",Growth,Tyndall Park,Point Douglas,POINT (-97.20351 49.93711),0,0,2027,,,N,7,,,,,,,
2024,Flood Pumping Station Rehabilitation,"A 2007 report on the adequacy and operation of the City’s regional flood pumping stations identified station upgrades required in the near and long term. These upgrades improve overall station reliability during high river levels and rainfall events and may include changes to ventilation, electrical, mechanical, structural, or architectural components of the stations and associated structures, chambers, weirs, outfall pipes, and gates. A program to address high priority reliability items has been developed for implementation. All stations will be upgraded for remote monitoring which is critical during flood and rainfall events.",Water and Waste,Land Drainage & Flood Control,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,"1,500,000",0,2031,,,N,1,,,,,,,
2024,Louise Bridge Rehabilitation / Replacement,"The proposed project scope has yet to be fully defined as a preliminary design study for Louise Bridge, Higgins Underpass, and Stadacona Street extension are required.",Public Works,Bridges - Regional,Project,$0,1%,5,A City that Works for Residents through Improved Customer Service,Renew,Chalmers,Elmwood - East Kildonan,POINT (-97.11378962 49.90567004),0,"13,984,000",2025,,,Y,4,,,,,,,
2023,Network Products Evergreen,text,Innovation and Technology,Multiple Organizational Support Services,Program,"$7,622,000",100%,,Economic Prosperity,Renew,,,,"1,248,000",0,2028,,,,,,,,,,,
2024,Freight House Outdoor Pool Redevelopment,"The existing outdoor pool at this site is in poor condition and lacks the capacity to adequately serve the needs of the community. The pool is located in an geographic area of higher needs and it does not meet current accessibility standards nor provide adequate play value and amenities to serve this community. The new pool will include contemporary pool features such as an accessible pool access ramp, slides, spray features, shaded seating areas, diving board(s) and a new pool change/washroom and mechanical system building.",Community Services,Recreation,Project,$0,22%,5,"A Livable, Safe, Healthy, Happy City",Upgrade,Centennial,Point Douglas,POINT (-97.151199 49.905231),0,"5,877,000",2028,,,Y,14,,,,,,,
2023,Millennium Library Parkade Facility Renewal Program,text,Public Works,Parking,Program,"$50,081,000",0%,,Leadership & Good Governance,Renew,South Portage,Fort Rouge - East Fort Garry,POINT (-97.142058 49.891789),0,"1,381,000",2030,,,,,,,,,,,
2024,Flight Operations - Helicopter,The helicopter currently in use will reach the end of its useful life.,Winnipeg Police Service,Police Services,Project,$0,0%,4,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,0,2026,,,N,4,,,,,,,
2023,Road Safety Improvement Program (formerly Traffic Engineering Improvements - Various Locations),text,Public Works,Roads - Regional,Program,"$24,512,000",100%,,Good Health & Well-Being,Operations & Maintenance,,,,"3,000,000",0,2029,,,,,,,,,,,
2024,Electric Vehicles and Infrastructure,This annual program would fund replacement of approximately 16 vehicles with electric vehicles and supporting infrastructure.,Public Works,Multiple Organizational Support Services,Program,$0,0%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,"2,000,000",2027,,,N,4,,,,,,,
2024,Outfall Rehabilitation,"The City will program and undertake risk-based work on a yearly basis to maximize use of funding for the rehabilitation of sewer outfalls, repairs to piping and related appurtenances, and to improve riverbank stability issues. Funds are also included for condition assessments and re-inspections, as required.",Water and Waste,Land Drainage & Flood Control,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,"3,200,000",0,2026,,,N,5,,,,,,,
2024,Arenas Capital Renewal Program,"The arena capital maintenance and renewal program supports capital maintenance repairs, refurbishment, and improvements to 14 indoor arenas owned and operated by the City of Winnipeg or by partners via legal agreements*. Projects may include ice plant component replacements, interior improvements, heating, ventilation and electrical improvements, replacement of rink components, building envelope and structural improvements.",Assets and Project Management,Recreation,Program,$0,0%,,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,"23,035,000",2030,,,N,17,,,,,,,
2023,Community Centre Capital Renewal Program,text,Assets and Project Management,Recreation,Program,"$158,175,000",0%,,Leadership & Good Governance,Renew,,,,0,"24,455,000",2023,,,,,,,,,,,
2024,Enterprise Resource Planning (ERP) Peoplesoft Renewal Program,"Human Resources, Finance and most or all City employees use PeopleSoft HR and Financials ERP modules that are at end of life. Short term support for the modules is provided by a third-party company.  The City needs additional functions, features and applications that are not available in the current PeopleSoft ERP modules. Many are also not available in the latest PeopleSoft updated versions and developing them will require customizations that are cost-prohibitive.",Innovation and Technology,Multiple Organizational Support Services,Program,$0,100%,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,0,0,2032,,,N,2,,,,,,,
2024,City of Winnipeg Archives - The Winnipeg 150 Legacy Project,"Renovations at 380 William Avenue will create a space that meets the programming needs of today's City of Winnipeg Archives, including the legislated and fiduciary requirements for the long-term storage and preservation of archival records. The renovations will enable the framework outlined in “A Reconciliation Framework for Canadian Archives”, allowing the City to advance reconciliation efforts through governance, operations and organizational culture changes including fair representation, professional practice and relationship building.",City Clerks,Multiple Organizational Support Services,Project,"$12,147,000",100%,5,A City that Works for Residents through Improved Customer Service,Upgrade,,,,"12,147,000",0,2024,,"543,000",N,3,,,,,,,
2024,Local Area Planning Program,Local Area Planning Program will provide a budget for new local area plan projects and the next OurWinnipeg development plan review. The program will last for a ten-year period from 2024 through 2033 and allow for the bundling of multiple low-risk small projects over time and provide the City with greater capacity to manage growth and meet the goals outlined in OurWinnipeg 2045 and Complete Communities 2.0,"Planning, Property & Development",City Planning,Program,"$8,007,000",0%,,"A Livable, Safe, Healthy, Happy City",Growth,,,,0,"800,000",2024,,,N,1,,,,,,,
2024,Community Centre Investment Fund (CCIF),"Investment to support amalgamation, renewal and upgrade of end of life and/or functionally obsolete community centres.",Community Services,Recreation,Program,$0,0%,,"A Livable, Safe, Healthy, Happy City",Upgrade,,,,0,0,2031,,,N,20,,,,,,,
2024,Primary Transit Network Infrastructure,"This program will support the Winnipeg Transit Master Plan complete redesign of the transit network city-wide. In the proposed new transit network, several new routes will require dedicated bus loops, stations, mobility hubs, comfort stations for bus operators, and new traffic signals where buses/ riders will be turning onto or crossing major arterial streets. This project also includes public engagement, communications, and marketing to ensure Winnipeg Transit customers and the broader public are aware and can provide input on the proposed changes and their impacts. This project also funds installation and removal of bus stop signs and other similar elements required to transition the city-wide transit network.",Winnipeg Transit,Public Transit,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,"13,536,000",0,2026,,,N,4,,,,,,,
2023,Community Centre Renovation Grant Program (CCRGP),text,Community Services,Recreation,Commitment,"$10,685,000",100%,,Good Health & Well-Being,Renew,,,,"965,000",0,2030,,,,,,,,,,,
2024,NG911,"CRTC NG9-1-1 standards require upgrades to call handling systems to ensure 9-1-1 data can be appropriately handled. It also requires primary and back-up PSAPS centres have physical and electronic security measures in place. These funds will be used to construct a 9-1-1 back-up centre to meet national standards, and implement an on-premise 9-1-1 communication system.",Fire Paramedic Service,Fire & Rescue Response,Project,$0,100%,5,"A Livable, Safe, Healthy, Happy City",Upgrade,,,,0,0,2033,,,N,3,,,,,,,
2024,Southwest Interceptor River Crossing,"This project includes the conceptual, preliminary and detailed design stages to upgrade the regional sewer system servicing the southwest quadrant of the City of Winnipeg.",Water and Waste,Wastewater,Project,$0,100%,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,0,0,2032,Growth-enabling infrastructure,,N,16,,,,,,,
2024,Feeder Main Condition Assessment and Rehabilitation,"Feeder mains are specialized large diameter pipes used to convey drinking water throughout the City. The majority of feeder mains were installed in the 1960s and require inspection, testing, and maintenance to preserve the asset. Funds are for condition assessment and rehabilitation work, including structural assessments, inspections, purchase of testing equipment, replacement of valves and related components, structural repairs, valve chamber rehabilitation, and restoration works.",Water and Waste,Water,Program,"$11,600,000",100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,"3,900,000",0,2024,,,N,8,,,,,,,
2024,Process Control System Master Plan and Upgrade,"This program will develop a plan to ensure operational reliability throughout the upgrades and in the long term once the upgrades are complete. The major components of this program include: maintaining the Distributed Control Systems (DCS) and Human Machine Interface (HMI) systems until replacement, upgrading the inter-plant communication systems and network security components, and replacement of the West End Sewage Treatment Plant DCS and HMI systems.",Water and Waste,Wastewater,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2033,,,N,1,,,,,,,
2024,North End Sewage Treatment plant (NEWPCC) Upgrades: Nutrient Removal Facilities,The proposed project is the final phase of the NEWPCC (North End Sewage Treatment Plant) Upgrade. The Nutrient Removal Facilities project will address regulatory requirements regarding the new effluent limits for nitrogen and phosphorous. It will add mostly new facilities including new wet weather treatment capability and replace associated end-of-life equipment.,Water and Waste,Wastewater,Project,$0,0%,5,A Strong Economy,Upgrade,West Kildonan Industrial,Old Kildonan,POINT (-97.10764 49.95172),0,0,2025,Growth-enabling infrastructure,,N,12,,,,,,,
2024,Brady Road Resource Management Facility - Cell Construction,"Solid waste must be disposed of in engineered landfill cells under the conditions of the Environment Act Licence No. 3081 R. As the capacity of existing landfill cells is consumed, new cells and their supporting infrastructure must be designed and constructed. The funding identified provides for design, excavation, liners, leachate collection, associated surface and ground water management, access roads, and associated engineering work.",Water and Waste,Solid Waste Disposal,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Growth,La Barriere,St. Norbert - Seine River,POINT (-97.212998 49.757805),"6,600,000",0,2032,,,N,2,,,,,,,
2023,Regional Parks,text,Public Works,Parks - Regional,Program,"$21,555,000",100%,,Good Health & Well-Being,Operations & Maintenance,,,,"1,610,000",0,2023,,,,,,,,,,,
2024,Soil Fabrication for Landfill Cover,"This is a program for all-season fabrication of soil to supplement city topsoil requirements. The soil fabrication process uses city residuals, such as biosolids, street sweepings from winter road operations (sand and grit), and woodchips to fabricate topsoil. This is then spread and seeded with native prairie species at the City landfills. Operations include ongoing environmental and vegetative monitoring.",Water and Waste,Solid Waste Disposal,Program,$0,50%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,"1,400,000","325,000",2025,,,N,3,,,,,,,
2024,Rapid Transit Construction,Construction of future Rapid Transit Corridors identified in the Winnipeg Transit Master Plan. Costs identified include the first four of eight potential corridors.,Winnipeg Transit,Public Transit,Program,$0,0%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Growth,,,,0,"45,947,000",2030,,,N,10,,,,,,,
2024,"Water Supply, Treatment, and Distribution Electrical Upgrades","Maintaining the condition and performance of electrical equipment is vital to the safe and continuous supply, treatment, and distribution of drinking water for the City of Winnipeg. Electrical inspections will be undertaken in a phased approach at the City's various water facilities to test and assess the condition and performance of critical electrical equipment. Extensive repairs or upgrades that are identified in the inspections will be subject to future capital requests.",Water and Waste,Water,Project,$0,100%,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,"3,300,000",0,2027,,,N,13,,,,,,,
2023,Community Centre Capital Renewal Program,text,Assets and Project Management,Recreation,Program,"$158,175,000",0%,,Leadership & Good Governance,Renew,,,,0,"28,350,000",2028,,,,,,,,,,,
2024,Communities Fund,"Funding in each year will be divided equally between each of the fifteen wards. Program details, policy, eligibility, reporting requirements, etc. of this new program will be communicated later or through the budget recommendations.",Council,Multiple Organizational Support Services,Program,$0,100%,,A City that Works for Residents through Improved Customer Service,Renew,,,,"1,696,000",0,2029,,,N,7,,,,,,,
2023,Tree Replacement on Major Routes,text,Public Works,Urban Forests,Program,"$12,688,000",0%,,Environmental Resilience,Renew,,,,0,"1,632,000",2029,,,,,,,,,,,
2024,Digital Customer Solutions,This program will mature the existing Water and Waste Department's digital customer platforms (e.g. MyUtility and Lawyer Gateway). It will also provide new digital customer experiences.,Innovation and Technology,Wastewater,Program,$0,100%,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,"810,000",0,2025,,,N,2,,,,,,,
2023,Riverbank Stabilization Physical Asset Protection (RSPAP) Program,text,"Planning, Property & Development",Land Drainage & Flood Control,Program,"$198,000,000",0%,,Environmental Resilience,Upgrade,,,,0,"19,800,000",2032,,,,,,,,,,,
2023,Rapid Transit Construction,text,Winnipeg Transit,Public Transit,Program,"$1,260,645,000",0%,,City Building,Growth,,,,0,"558,250,000",2025,,,,,,,,,,,
2024,Water and Waste Department Business Intelligence,"This project will develop a solution that will improve access to data and information, provide improved analytics, dashboarding, and reporting functionality, provide timely reporting of data, and generate insights to improve evidence-based decision-making.",Innovation and Technology,Wastewater,Program,$0,100%,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,"800,000",0,2025,,,N,4,,,,,,,
2024,Waterway Crossing and Grade Separations - Annual Program,"Annual program to carry out preventative maintenance, major repairs, improvements or replacement to existing bridges, overpasses, underpasses, culverts and related bridge infrastructure, ensuring continued and continuous services of these facilities to the maximum practical extent.",Public Works,Bridges - Regional,Program,"$72,475,000",100%,,A City that Works for Residents through Improved Customer Service,Renew,,,,"3,000,000",0,2024,,,Y,1,,"74,575,000","74,575,000",0,"60,398,000","60,398,000",0
2023,Water Main Renewals,text,Water and Waste,Water,Program,"$220,500,000",100%,,Environmental Resilience,Renew,,,,"22,750,000",0,2028,,,,,,,,,,,
2024,Local Area Planning Program,Local Area Planning Program will provide a budget for new local area plan projects and the next OurWinnipeg development plan review. The program will last for a ten-year period from 2024 through 2033 and allow for the bundling of multiple low-risk small projects over time and provide the City with greater capacity to manage growth and meet the goals outlined in OurWinnipeg 2045 and Complete Communities 2.0,"Planning, Property & Development",City Planning,Program,$0,0%,,"A Livable, Safe, Healthy, Happy City",Growth,,,,0,"515,000",2025,,,N,1,,,,,,,
2023,Regional Parks - King's Park Rehabilitation,text,Public Works,Parks - Regional,Program,"$6,426,000",0%,,Good Health & Well-Being,Renew,Fort Richmond,St. Norbert - Seine River,POINT (-97.12473203 49.79910476),0,"534,000",2027,,,,,,,,,,,
2024,Building Systems Repairs and Refurbishment Program at Pan Am Pool,"Facility improvement project to address end-of-life building systems/components, functional limitations, and code compliance in order to maintain current levels of service. Program scope includes short, medium and long-term structural repairs, repair or replacement of air handling units, installation of a central chiller cooling system, replacement of all exhaust fans, hot water tanks, heat exchanger, showers, the PA system to a zone-controllable model and dive tower replacement (added for 2024 budget year).",Assets and Project Management,Recreation,Program,"$41,711,000",0%,,"A Livable, Safe, Healthy, Happy City",Upgrade,Grant Park,River Heights - Fort Garry,POINT (-97.17389347 49.85505337),0,"17,312,000",2024,,,N,8,,,,,,,
2023,Assiniboine Park Conservancy (APC) - Infrastructure and Sustainability,text,Community Services,Recreation,Commitment,"$54,000,000",100%,,Good Health & Well-Being,Operations & Maintenance,Assiniboine Park,Charleswood - Tuxedo - Westwood,POINT (-97.23028564 49.87211724),"5,400,000",0,2029,,,,,,,,,,,
2024,North End Sewage Treatment plant (NEWPCC) Upgrades: Power Supply and Headworks Facilities,,Water and Waste,Wastewater,Project,$0,100%,3,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,West Kildonan Industrial,Old Kildonan,POINT (-97.10764 49.95172),0,0,2032,Growth-enabling infrastructure,,N,11,,,,,,,
2023,Transit Roof Replacement and Ventilation Upgrade,text,Winnipeg Transit,Public Transit,Program,"$7,300,000",100%,,City Building,Upgrade,Lord Roberts,Fort Rouge - East Fort Garry,POINT (-97.14271355 49.86553834),"2,350,000",0,2023,,,,,,,,,,,
2023,Evidence Archive Building,text,Winnipeg Police Service,Police Service/Crime Prevention,Project,"$9,219,000",0%,4,City Building,Renew,,,,0,"149,000",2023,,,,,,,,,,,
2024,Silver Heights Fire Paramedic Station,"With this capital funding the Winnipeg Fire Paramedic Service seeks to maximize the efficiency of the station network. This is achieved through relocations, replacements, and major enhancements to stations that help reduce costs but maintain the desired level of response.",Fire Paramedic Service,Fire & Rescue Response,Project,$0,100%,5,"A Livable, Safe, Healthy, Happy City",Renew,Silver Heights,St. James,POINT (-97.25476765 49.88025755),"557,000",0,2027,,,N,5,,,,,,,
2024,Digital Evidence Management System,"Evergreening our current For-The-Record (FTR) systems and procurement of a Digital Evidence Management system for proper and efficient storage, tracking and retention of all videos and photos/pictures processed by the WPS (from internal or external sources), particularly for investigative purposes. System will need to be renewed on a 5 year cycle.",Winnipeg Police Service,Police Services,Program,"$6,954,000",100%,,"A Livable, Safe, Healthy, Happy City",Renew,,,,"3,241,000",0,2024,,,N,3,,"6,954,000",0,"6,954,000","6,954,000",0,"6,954,000"
2024,Land Drainage and Combined Sewers Outfall Gate Structures,"The current focus of this program is to upgrade existing gate chambers to meet minimum levels of service and install new gate chambers for flood control on both combined and separated sewer districts during high river level conditions. Under high river level (flood) conditions, the river water backs up into the land drainage and combined sewer systems.",Water and Waste,Land Drainage & Flood Control,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,0,0,2030,,,N,4,,,,,,,
2023,Vacuum Truck Decanting Facility,text,Water and Waste,Wastewater,Project,"$6,250,000",100%,3,Environmental Resilience,Growth,,,,0,0,2025,,,,,,,,,,,
2024,Pumping Stations and Reservoirs Structural Upgrades: General,"The McPhillips, Wilkes and MacLean reservoirs provide balancing storage to meet fluctuating daily water demands; the McPhillips, Hurst, and MacLean pumping stations provide the final pumping to deliver water to the water utility customers. These pump stations and reservoirs were constructed in the early 1960s. It is anticipated that the building structures will require upgrading to ensure the uninterrupted operation of these pumping facilities.  Condition assessments will be undertaken at the reservoirs to identify any repairs needed to ensure the reservoirs remain operational for the next 50 years. Additional investments in the pumping stations and reservoirs will be put forward as a result of the condition assessments.",Water and Waste,Water,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2028,,,N,9,,,,,,,
2024,Community Centre Capital Renewal Program,"The Community Centre Capital Maintenance & Renewal Program addresses maintenance and renewal needs for City of Winnipeg community centres focusing on community centre projects that are considered the City’s responsibility as outlined in the Universal Funding Formula. This includes building envelope retrofit, structural repairs, controls and mechanical systems, repair/replacement of sewer and water lines to buildings, electrical systems, functionality and accessibility improvements, hazardous material abatement (radon, lead, mould or asbestos), outdoor rink lighting upgrades, parking lot lighting replacements, replacement of elevators and lifts due to age, roof replacements, fire safety system improvements and parking lot renewals.",Assets and Project Management,Recreation,Program,$0,0%,,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,"22,707,000",2026,,,N,9,,,,,,,
2023,Transit Building Replacement / Refurbishment,text,Winnipeg Transit,Public Transit,Program,"$13,436,000",100%,,City Building,Renew,Lord Roberts,Fort Rouge - East Fort Garry,POINT (-97.14271355 49.86553834),"4,340,000",0,2026,,,,,,,,,,,
2023,Neighbourhood Centres Capital Renewal Program,text,Assets and Project Management,Recreation,Program,"$7,535,000",0%,,Economic Prosperity,Renew,,,,0,"1,310,000",2027,,,,,,,,,,,
2024,Pembina Hwy Rehabilitation at Abinojii Mikanah,"The overpass on Pembina Highway over Abinojii Mikanah requires bridge deck rehabilitation, including reconstruction of the exit loop ramps.",Public Works,Bridges - Regional,Project,$0,100%,5,A City that Works for Residents through Improved Customer Service,Renew,Montcalm,Waverley West,POINT (-97.15426573 49.81776013),0,0,2030,,,Y,6,,,,,,,
2024,Relocation of Fleet head office and Tecumseh Shops,"Move the WFMA operations of head office, repair facility, and manufacturing facility from 195-215 Tecumseh/770 Ross to a new location.",Public Works,Multiple Organizational Support Services,Project,$0,0%,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,West Alexander,Point Douglas,POINT (-97.1607308148397 49.9074105448269),0,0,2032,,,N,6,,,,,,,
2024,Transition to Zero Emission Buses,"This multi-year program is for the transition from diesel to zero emission buses plus the associated charging/fueling infrastructure required to support a full transition to a zero emission fleet. Future bus and infrastructure purchases are planned based on needs, funding, and climate goals.",Winnipeg Transit,Public Transit,Program,$0,48%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,"26,183,000","63,943,000",2028,,,N,9,,,,,,,
2024,Tyndall Park Community Centre Addition,The proposed project involves the development of a full-sized gymnasium addition and related spaces to meet community program needs.,Community Services,Recreation,Project,$0,24%,5,"A Livable, Safe, Healthy, Happy City",Growth,Tyndall Park,Point Douglas,POINT (-97.20351 49.93711),0,0,2032,,,N,7,,,,,,,
2023,Route 90 Improvements - Taylor to Ness,text,Public Works,Roads - Regional,Project,"$558,058,000",0%,5,City Building,Growth,Mathers,River Heights - Fort Garry,POINT (-97.2067161202326 49.8518082577844),0,"124,584,000",2027,Growth-supportive infrastructure,,,,,,,,,,
2023,Louise Bridge Replacement,text,Public Works,Bridges - Regional,Project,"$160,699,000",0%,5,City Building,Renew,Chalmers,Elmwood - East Kildonan,POINT (-97.11378962 49.90567004),0,"51,325,000",2026,,,,,,,,,,,
2024,Insect Control Branch Building and Yards - 3 Grey Street,"The proposed project involves the relocation of the Insect Control Building, Yards and Heliport at 3 Grey Street to city-owned lands adjacent to the South End Water Pollution Control Centre.",Public Works,Insect Control,Project,$0,0%,3,"A Livable, Safe, Healthy, Happy City",Upgrade,Tyne-Tees,Elmwood - East Kildonan,POINT (-97.09573193 49.902051),0,0,2030,,,N,1,,,,,,,
2023,Lift Station Upgrading: Station Rehabilitation,text,Water and Waste,Wastewater,Program,"$67,050,000",100%,,Environmental Resilience,Upgrade,,,,"7,000,000",0,2028,,,,,,,,,,,
2024,Pembina Hwy Rehabilitation at Abinojii Mikanah,"The overpass on Pembina Highway over Abinojii Mikanah requires bridge deck rehabilitation, including reconstruction of the exit loop ramps.",Public Works,Bridges - Regional,Project,"$19,400,000",100%,5,A City that Works for Residents through Improved Customer Service,Renew,Montcalm,Waverley West,POINT (-97.15426573 49.81776013),"2,000,000",0,2024,,,Y,6,,,,,,,
2024,"Water Supply, Treatment, and Distribution Electrical Upgrades","Maintaining the condition and performance of electrical equipment is vital to the safe and continuous supply, treatment, and distribution of drinking water for the City of Winnipeg. Electrical inspections will be undertaken in a phased approach at the City's various water facilities to test and assess the condition and performance of critical electrical equipment. Extensive repairs or upgrades that are identified in the inspections will be subject to future capital requests.",Water and Waste,Water,Project,$0,100%,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2032,,,N,13,,,,,,,
2023,Local Improvements - Ongoing Program,text,Assessment & Taxation,Economic development,Program,"$24,000,000",15%,,City Building,Operations & Maintenance,,,,"500,000","1,900,000",2028,,,,,,,,,,,
2023,Regional and Local Street Renewal,text,Public Works,Roads - Regional,Program,"$1,737,705,000",100%,,Leadership & Good Governance,Renew,,,,"160,460,000",0,2025,,,,,,,,,,,
2023,Station Capital Maintenance,text,Fire Paramedic Service,Fire & Medical Response,Program,"$43,195,000",25%,,Economic Prosperity,Operations & Maintenance,,,,"576,000","17,988,000",2023,,,,,,,,,,,
